[2026-02-20 19:12:27] train.py started
[2026-02-20 19:12:27] args={'train_mat': '/home/users/tomomasa_yamasaki/AMBER/data/deepsea/deepsea_train/train.mat', 'valid_mat': '/home/users/tomomasa_yamasaki/AMBER/data/deepsea/deepsea_train/valid.mat', 'outdir': './outputs/torch_transformer', 'model_id': 'local_transformer', 'hf_model_name': None, 'hf_revision': None, 'epochs': 1, 'batch_size': 64, 'lr': 0.0003, 'num_workers': 2, 'max_length': 1024, 'd_model': 128, 'nhead': 8, 'num_layers': 4, 'seed': 42}
[2026-02-20 19:12:27] loading datasets from MAT files
[2026-02-20 19:12:27] [dataset] attempting lazy HDF5 dataset loading
[2026-02-20 19:12:27] [dataset] H5 dataset ready file=/home/users/tomomasa_yamasaki/AMBER/data/deepsea/deepsea_train/train.mat x_key=trainxdata y_key=traindata x_shape=(1000, 4, 4400000) y_shape=(919, 4400000) n_samples=4400000 x_layout=L_C_N y_layout=919_N
[2026-02-20 19:12:27] [dataset] HDF5 open failed for /home/users/tomomasa_yamasaki/AMBER/data/deepsea/deepsea_train/valid.mat; falling back to eager loadmat
[2026-02-20 19:12:28] [dataset] MAT keys for /home/users/tomomasa_yamasaki/AMBER/data/deepsea/deepsea_train/valid.mat: ['validdata', 'validxdata']
[2026-02-20 19:12:28] dataset loaded: train_x=(4400000, 1000, 4) train_y=(4400000, 919) valid_x=(8000, 1000, 4) valid_y=(8000, 919) (elapsed=0.67s)
[2026-02-20 19:12:28] building DataLoader objects
[2026-02-20 19:12:28] DataLoader ready
[2026-02-20 19:12:28] device=cuda
[2026-02-20 19:12:28] building model
[2026-02-20 19:12:28] model ready
[2026-02-20 19:12:37] epoch 1/1 started
[2026-02-20 19:12:50] epoch 1 step 50: train_loss=0.179599
[2026-02-20 19:13:02] epoch 1 step 100: train_loss=0.094655
[2026-02-20 19:13:13] epoch 1 step 150: train_loss=0.102971
[2026-02-20 19:13:25] epoch 1 step 200: train_loss=0.087405
[2026-02-20 19:13:37] epoch 1 step 250: train_loss=0.107965
[2026-02-20 19:13:48] epoch 1 step 300: train_loss=0.084304
[2026-02-20 19:14:00] epoch 1 step 350: train_loss=0.089617
[2026-02-20 19:14:11] epoch 1 step 400: train_loss=0.068404
[2026-02-20 19:14:23] epoch 1 step 450: train_loss=0.098048
[2026-02-20 19:14:34] epoch 1 step 500: train_loss=0.077390
[2026-02-20 19:14:46] epoch 1 step 550: train_loss=0.141913
[2026-02-20 19:14:57] epoch 1 step 600: train_loss=0.092421
[2026-02-20 19:15:09] epoch 1 step 650: train_loss=0.083370
[2026-02-20 19:15:21] epoch 1 step 700: train_loss=0.080490
[2026-02-20 19:15:32] epoch 1 step 750: train_loss=0.175483
[2026-02-20 19:15:44] epoch 1 step 800: train_loss=0.085742
[2026-02-20 19:15:55] epoch 1 step 850: train_loss=0.081382
[2026-02-20 19:16:07] epoch 1 step 900: train_loss=0.069864
[2026-02-20 19:16:18] epoch 1 step 950: train_loss=0.074261
[2026-02-20 19:16:30] epoch 1 step 1000: train_loss=0.100353
[2026-02-20 19:16:41] epoch 1 step 1050: train_loss=0.092371
[2026-02-20 19:16:53] epoch 1 step 1100: train_loss=0.057768
[2026-02-20 19:17:05] epoch 1 step 1150: train_loss=0.067935
[2026-02-20 19:17:16] epoch 1 step 1200: train_loss=0.072225
[2026-02-20 19:17:28] epoch 1 step 1250: train_loss=0.078346
[2026-02-20 19:17:39] epoch 1 step 1300: train_loss=0.057424
[2026-02-20 19:17:51] epoch 1 step 1350: train_loss=0.090900
[2026-02-20 19:18:02] epoch 1 step 1400: train_loss=0.094910
[2026-02-20 19:18:14] epoch 1 step 1450: train_loss=0.081759
[2026-02-20 19:18:25] epoch 1 step 1500: train_loss=0.075141
[2026-02-20 19:18:37] epoch 1 step 1550: train_loss=0.089318
[2026-02-20 19:18:49] epoch 1 step 1600: train_loss=0.098976
[2026-02-20 19:19:00] epoch 1 step 1650: train_loss=0.146948
[2026-02-20 19:19:12] epoch 1 step 1700: train_loss=0.086189
[2026-02-20 19:19:23] epoch 1 step 1750: train_loss=0.101359
[2026-02-20 19:19:35] epoch 1 step 1800: train_loss=0.086392
[2026-02-20 19:19:46] epoch 1 step 1850: train_loss=0.082980
[2026-02-20 19:19:58] epoch 1 step 1900: train_loss=0.101708
[2026-02-20 19:20:09] epoch 1 step 1950: train_loss=0.130208
[2026-02-20 19:20:21] epoch 1 step 2000: train_loss=0.068619
[2026-02-20 19:20:33] epoch 1 step 2050: train_loss=0.068186
[2026-02-20 19:20:44] epoch 1 step 2100: train_loss=0.103129
[2026-02-20 19:20:56] epoch 1 step 2150: train_loss=0.094267
[2026-02-20 19:21:07] epoch 1 step 2200: train_loss=0.073985
[2026-02-20 19:21:19] epoch 1 step 2250: train_loss=0.109999
[2026-02-20 19:21:30] epoch 1 step 2300: train_loss=0.073157
[2026-02-20 19:21:42] epoch 1 step 2350: train_loss=0.085416
[2026-02-20 19:21:54] epoch 1 step 2400: train_loss=0.073800
[2026-02-20 19:22:05] epoch 1 step 2450: train_loss=0.104703
[2026-02-20 19:22:17] epoch 1 step 2500: train_loss=0.076873
[2026-02-20 19:22:28] epoch 1 step 2550: train_loss=0.089663
[2026-02-20 19:22:40] epoch 1 step 2600: train_loss=0.068618
[2026-02-20 19:22:51] epoch 1 step 2650: train_loss=0.060787
[2026-02-20 19:23:03] epoch 1 step 2700: train_loss=0.082704
[2026-02-20 19:23:14] epoch 1 step 2750: train_loss=0.099864
[2026-02-20 19:23:26] epoch 1 step 2800: train_loss=0.087063
[2026-02-20 19:23:38] epoch 1 step 2850: train_loss=0.080938
[2026-02-20 19:23:49] epoch 1 step 2900: train_loss=0.073446
[2026-02-20 19:24:01] epoch 1 step 2950: train_loss=0.078373
[2026-02-20 19:24:12] epoch 1 step 3000: train_loss=0.107348
[2026-02-20 19:24:24] epoch 1 step 3050: train_loss=0.091684
[2026-02-20 19:24:35] epoch 1 step 3100: train_loss=0.100735
[2026-02-20 19:24:47] epoch 1 step 3150: train_loss=0.067973
[2026-02-20 19:24:58] epoch 1 step 3200: train_loss=0.084494
[2026-02-20 19:25:10] epoch 1 step 3250: train_loss=0.073751
[2026-02-20 19:25:22] epoch 1 step 3300: train_loss=0.110206
[2026-02-20 19:25:33] epoch 1 step 3350: train_loss=0.110217
[2026-02-20 19:25:45] epoch 1 step 3400: train_loss=0.104418
[2026-02-20 19:25:56] epoch 1 step 3450: train_loss=0.077067
[2026-02-20 19:26:08] epoch 1 step 3500: train_loss=0.087826
[2026-02-20 19:26:19] epoch 1 step 3550: train_loss=0.072846
[2026-02-20 19:26:31] epoch 1 step 3600: train_loss=0.110135
[2026-02-20 19:26:42] epoch 1 step 3650: train_loss=0.090165
[2026-02-20 19:26:54] epoch 1 step 3700: train_loss=0.093365
[2026-02-20 19:27:06] epoch 1 step 3750: train_loss=0.090677
[2026-02-20 19:27:17] epoch 1 step 3800: train_loss=0.094815
[2026-02-20 19:27:29] epoch 1 step 3850: train_loss=0.086071
[2026-02-20 19:27:40] epoch 1 step 3900: train_loss=0.079868
[2026-02-20 19:27:52] epoch 1 step 3950: train_loss=0.083990
[2026-02-20 19:28:03] epoch 1 step 4000: train_loss=0.102796
[2026-02-20 19:28:15] epoch 1 step 4050: train_loss=0.097344
[2026-02-20 19:28:26] epoch 1 step 4100: train_loss=0.060966
[2026-02-20 19:28:38] epoch 1 step 4150: train_loss=0.074990
[2026-02-20 19:28:50] epoch 1 step 4200: train_loss=0.064808
[2026-02-20 19:29:01] epoch 1 step 4250: train_loss=0.091095
[2026-02-20 19:29:13] epoch 1 step 4300: train_loss=0.099654
[2026-02-20 19:29:24] epoch 1 step 4350: train_loss=0.085827
[2026-02-20 19:29:36] epoch 1 step 4400: train_loss=0.081587
[2026-02-20 19:29:47] epoch 1 step 4450: train_loss=0.118349
[2026-02-20 19:29:59] epoch 1 step 4500: train_loss=0.073394
[2026-02-20 19:30:10] epoch 1 step 4550: train_loss=0.075829
[2026-02-20 19:30:22] epoch 1 step 4600: train_loss=0.079355
[2026-02-20 19:30:34] epoch 1 step 4650: train_loss=0.073360
[2026-02-20 19:30:45] epoch 1 step 4700: train_loss=0.113577
[2026-02-20 19:30:57] epoch 1 step 4750: train_loss=0.081863
[2026-02-20 19:31:08] epoch 1 step 4800: train_loss=0.059876
[2026-02-20 19:31:20] epoch 1 step 4850: train_loss=0.072537
[2026-02-20 19:31:31] epoch 1 step 4900: train_loss=0.100526
[2026-02-20 19:31:43] epoch 1 step 4950: train_loss=0.085562
[2026-02-20 19:31:54] epoch 1 step 5000: train_loss=0.088893
[2026-02-20 19:32:06] epoch 1 step 5050: train_loss=0.089395
[2026-02-20 19:32:18] epoch 1 step 5100: train_loss=0.073954
[2026-02-20 19:32:29] epoch 1 step 5150: train_loss=0.097241
[2026-02-20 19:32:41] epoch 1 step 5200: train_loss=0.100115
[2026-02-20 19:32:52] epoch 1 step 5250: train_loss=0.077469
[2026-02-20 19:33:04] epoch 1 step 5300: train_loss=0.071002
[2026-02-20 19:33:15] epoch 1 step 5350: train_loss=0.066038
[2026-02-20 19:33:27] epoch 1 step 5400: train_loss=0.067116
[2026-02-20 19:33:38] epoch 1 step 5450: train_loss=0.068633
[2026-02-20 19:33:50] epoch 1 step 5500: train_loss=0.083648
[2026-02-20 19:34:02] epoch 1 step 5550: train_loss=0.069829
[2026-02-20 19:34:13] epoch 1 step 5600: train_loss=0.091169
[2026-02-20 19:34:25] epoch 1 step 5650: train_loss=0.101648
[2026-02-20 19:34:36] epoch 1 step 5700: train_loss=0.078509
[2026-02-20 19:34:48] epoch 1 step 5750: train_loss=0.089810
[2026-02-20 19:34:59] epoch 1 step 5800: train_loss=0.099693
[2026-02-20 19:35:11] epoch 1 step 5850: train_loss=0.109996
[2026-02-20 19:35:22] epoch 1 step 5900: train_loss=0.068016
[2026-02-20 19:35:34] epoch 1 step 5950: train_loss=0.082794
[2026-02-20 19:35:46] epoch 1 step 6000: train_loss=0.087675
[2026-02-20 19:35:57] epoch 1 step 6050: train_loss=0.081385
[2026-02-20 19:36:09] epoch 1 step 6100: train_loss=0.087793
[2026-02-20 19:36:20] epoch 1 step 6150: train_loss=0.088906
[2026-02-20 19:36:32] epoch 1 step 6200: train_loss=0.114143
[2026-02-20 19:36:43] epoch 1 step 6250: train_loss=0.096380
[2026-02-20 19:36:55] epoch 1 step 6300: train_loss=0.089965
[2026-02-20 19:37:06] epoch 1 step 6350: train_loss=0.093230
[2026-02-20 19:37:18] epoch 1 step 6400: train_loss=0.085046
[2026-02-20 19:37:29] epoch 1 step 6450: train_loss=0.090103
[2026-02-20 19:37:41] epoch 1 step 6500: train_loss=0.095153
[2026-02-20 19:37:53] epoch 1 step 6550: train_loss=0.128023
[2026-02-20 19:38:04] epoch 1 step 6600: train_loss=0.067477
[2026-02-20 19:38:16] epoch 1 step 6650: train_loss=0.106865
[2026-02-20 19:38:27] epoch 1 step 6700: train_loss=0.092370
[2026-02-20 19:38:39] epoch 1 step 6750: train_loss=0.089932
[2026-02-20 19:38:50] epoch 1 step 6800: train_loss=0.059737
[2026-02-20 19:39:02] epoch 1 step 6850: train_loss=0.071476
[2026-02-20 19:39:13] epoch 1 step 6900: train_loss=0.082199
[2026-02-20 19:39:25] epoch 1 step 6950: train_loss=0.082709
[2026-02-20 19:39:37] epoch 1 step 7000: train_loss=0.058874
[2026-02-20 19:39:48] epoch 1 step 7050: train_loss=0.084495
[2026-02-20 19:40:00] epoch 1 step 7100: train_loss=0.093250
[2026-02-20 19:40:11] epoch 1 step 7150: train_loss=0.102947
[2026-02-20 19:40:23] epoch 1 step 7200: train_loss=0.079067
[2026-02-20 19:40:34] epoch 1 step 7250: train_loss=0.070252
[2026-02-20 19:40:46] epoch 1 step 7300: train_loss=0.063652
[2026-02-20 19:40:57] epoch 1 step 7350: train_loss=0.082796
[2026-02-20 19:41:09] epoch 1 step 7400: train_loss=0.094084
[2026-02-20 19:41:21] epoch 1 step 7450: train_loss=0.063255
[2026-02-20 19:41:32] epoch 1 step 7500: train_loss=0.102702
[2026-02-20 19:41:44] epoch 1 step 7550: train_loss=0.085579
[2026-02-20 19:41:55] epoch 1 step 7600: train_loss=0.072039
[2026-02-20 19:42:07] epoch 1 step 7650: train_loss=0.078774
[2026-02-20 19:42:18] epoch 1 step 7700: train_loss=0.072417
[2026-02-20 19:42:30] epoch 1 step 7750: train_loss=0.078142
[2026-02-20 19:42:41] epoch 1 step 7800: train_loss=0.098514
[2026-02-20 19:42:53] epoch 1 step 7850: train_loss=0.084759
[2026-02-20 19:43:05] epoch 1 step 7900: train_loss=0.073984
[2026-02-20 19:43:16] epoch 1 step 7950: train_loss=0.079504
[2026-02-20 19:43:28] epoch 1 step 8000: train_loss=0.072055
[2026-02-20 19:43:39] epoch 1 step 8050: train_loss=0.070834
[2026-02-20 19:43:51] epoch 1 step 8100: train_loss=0.083521
[2026-02-20 19:44:02] epoch 1 step 8150: train_loss=0.065949
[2026-02-20 19:44:14] epoch 1 step 8200: train_loss=0.109134
[2026-02-20 19:44:25] epoch 1 step 8250: train_loss=0.075591
[2026-02-20 19:44:37] epoch 1 step 8300: train_loss=0.052057
[2026-02-20 19:44:49] epoch 1 step 8350: train_loss=0.083705
[2026-02-20 19:45:00] epoch 1 step 8400: train_loss=0.064588
[2026-02-20 19:45:12] epoch 1 step 8450: train_loss=0.111268
[2026-02-20 19:45:23] epoch 1 step 8500: train_loss=0.076666
[2026-02-20 19:45:35] epoch 1 step 8550: train_loss=0.112796
[2026-02-20 19:45:46] epoch 1 step 8600: train_loss=0.088669
[2026-02-20 19:45:58] epoch 1 step 8650: train_loss=0.094035
[2026-02-20 19:46:09] epoch 1 step 8700: train_loss=0.075010
[2026-02-20 19:46:21] epoch 1 step 8750: train_loss=0.079799
[2026-02-20 19:46:32] epoch 1 step 8800: train_loss=0.072274
[2026-02-20 19:46:44] epoch 1 step 8850: train_loss=0.111120
[2026-02-20 19:46:56] epoch 1 step 8900: train_loss=0.090914
[2026-02-20 19:47:07] epoch 1 step 8950: train_loss=0.075228
[2026-02-20 19:47:19] epoch 1 step 9000: train_loss=0.094800
[2026-02-20 19:47:30] epoch 1 step 9050: train_loss=0.077949
[2026-02-20 19:47:42] epoch 1 step 9100: train_loss=0.116519
[2026-02-20 19:47:53] epoch 1 step 9150: train_loss=0.120074
[2026-02-20 19:48:05] epoch 1 step 9200: train_loss=0.108813
